COUNTRY,COUNTRY_GRP,YEAR,VALUE
RUS,,1983,99.82
ISL,,2007,35.67
ARM,,2000,31.21
HRV,,2003,57.56
HRV,,1993,92.74
,EU_BEFORE_MAY2004,1971,69.42
LTU,,2001,157.53
,CIS,2014,91.72
,EU_BEFORE_MAY2004,2003,37.39
ESP,,1995,37.43
KAZ,,2006,156.34
CZE,,2014,43.31
MDA,,2016,72.9
LUX,,2014,34.43
AUT,,1989,67.64
KGZ,,1986,68.45
UKR,,1997,145.24
TUR,,2011,20.29
,SEEHN,2014,38.14
NOR,,1972,58.33
UKR,,2011,85.09
DNK,,2007,36.92
NLD,,1983,41.29
RUS,,1991,143.65
ITA,,1970,56.12
UZB,,2003,47.26
NOR,,1984,54.44
ISL,,1982,57.68
AUT,,1978,91.44
NLD,,1994,30.62
DEU,,2007,28.01
,CARINFONET,1998,86.09
NOR,,1971,60.27
SVN,,2011,59
IRL,,1978,59.43
ROU,,2005,57.8
LVA,,1983,145.85
NOR,,1987,55.26
DEU,,1999,35.06
UZB,,1999,51.42
GRC,,2006,30.55
POL,,1985,78.31
BIH,,1987,57.73
ESP,,2006,29.48
ESP,,1983,43.15
DEU,,2006,29.78
LTU,,1991,143.72
ARM,,2015,43.67
CZE,,2006,50.46
LVA,,1984,138.29
ESP,,1973,48.48
,WHO_EURO,2006,69.96
LTU,,2009,121.53
LUX,,1996,54.17
SVK,,2004,55.46
KAZ,,1999,132.05
TJK,,2000,35.02
,SEEHN,2013,38.45
UZB,,1986,62.05
RUS,,1992,173.98
BGR,,2001,50.03
CZE,,1995,76.85
LUX,,1980,86.59
LVA,,1981,145.59
DNK,,1998,50.97
BGR,,1997,57.46
BGR,,2006,44.89
CZE,,2012,45.71
FIN,,1987,82.89
DNK,,2006,39.03
BGR,,2010,34.96
CHE,,2006,37.93
,CARINFONET,1996,95.46
SWE,,2008,37.93
KGZ,,2005,91.32
,EU_AFTER_MAY2004,1999,73.38
FRA,,2000,56.16
HUN,,2004,76.79
LTU,,2006,154.57
ISL,,2003,34.82
,EU_MEMBERS,1979,61.5
UZB,,1987,61.49
CZE,,1994,78.08
ARM,,1987,48.93
ARM,,2002,37.03
NLD,,1991,32.62
ESP,,2015,21.67
HUN,,1991,117.15
CHE,,2012,31.93
RUS,,1987,103.22
ESP,,2000,35.72
NLD,,1977,49.75
MDA,,1989,113.3
FIN,,2003,67.77
SVK,,1994,71.99
LUX,,2004,39
ISR,,1990,46.22
SVK,,2014,50.51
KGZ,,2013,65.95
LVA,,2013,77.89
GEO,,2005,27.56
LVA,,2011,79.19
GBR,,1992,30.57
EST,,2002,136.31
ITA,,1986,44.98
,EU_MEMBERS,1972,68.15
ALB,,1994,35.08
ITA,,1980,54.07
HRV,,1985,82.23
,SEEHN,2001,55.9
PRT,,1981,80.59
MLT,,1992,37.11
UKR,,1982,105.07
DNK,,1972,73.66
POL,,1986,75.71
,EU_MEMBERS,1988,56.49
NLD,,2006,26.61
BLR,,2009,133.33
CZE,,1998,62.5
KAZ,,2004,155.3
HRV,,1988,86.69
TKM,,1981,73.46
,EU_MEMBERS,1978,61.8
BEL,,1978,79.26
ESP,,1982,39.8
SWE,,2000,37.07
ESP,,1984,41.47
SWE,,1997,38.85
KAZ,,1993,147.14
RUS,,1999,200.05
ISL,,1997,39.41
SVK,,2002,55.63
NOR,,1996,41.28
NOR,,2009,41.55
ESP,,1997,37.09
KGZ,,2014,64.05
KAZ,,1996,165.91
IRL,,2002,39.44
NOR,,2008,39.85
SRB,,2010,38.21
BEL,,1981,77.77
LVA,,1991,156.37
ARM,,1997,41.5
,NORDIC,2014,37
ISR,,1995,38.51
,CARINFONET,1991,88.48
LVA,,1997,154.6
BEL,,1996,53.94
,SEEHN,2008,48.54
,EU_AFTER_MAY2004,2015,46.19
,CARINFONET,1997,89.07
LTU,,2004,144.86
LUX,,1986,64.79
UKR,,2005,141.16
LVA,,1990,138.32
LTU,,2008,139.97
LVA,,2006,135.37
,EU_MEMBERS,1987,57.01
,EU_MEMBERS,1976,63.76
BIH,,1988,52.32
GEO,,2010,21.66
CHE,,1989,64.75
SWE,,1971,68.1
