COUNTRY,COUNTRY_GRP,AGE_GRP_4,SEX,YEAR,VALUE
CHE,,GTE65,FEMALE,1998,226.09
CHE,,GTE65,FEMALE,2010,147.93
CHE,,GTE65,FEMALE,2007,153.36
CHE,,GTE65,FEMALE,1995,176.17
CHE,,GTE65,ALL,1999,325.6
CHE,,GTE65,ALL,2003,268.78
CHE,,GTE65,ALL,2005,261.35
CHE,,GTE65,ALL,1996,272.41
CHE,,GTE65,ALL,2006,219.21
CHE,,GTE65,ALL,1998,318.83
CHE,,GTE65,MALE,2009,318.93
CHE,,GTE65,MALE,2010,292.67
CHE,,GTE65,MALE,2001,377.82
CHE,,GTE65,MALE,2003,397.25
CHE,,GTE65,MALE,1999,499.82
CHE,,GTE65,MALE,1998,477.66
CHE,,GTE65,MALE,1997,499.05
CHE,,GTE65,MALE,1995,462.75
CHE,,GTE65,MALE,2008,296.96
CHE,,GTE65,MALE,2000,467.13
FIN,,GTE65,ALL,2013,140.36
FIN,,GTE65,MALE,2013,229.5
FIN,,GTE65,FEMALE,2013,86.19
ITA,,GTE65,MALE,2012,361.58
ITA,,GTE65,ALL,2012,239.64
ITA,,GTE65,FEMALE,2012,167.53
LUX,,GTE65,FEMALE,2013,220.74
LUX,,GTE65,MALE,2013,339.25
LUX,,GTE65,ALL,2013,269.77
NLD,,GTE65,ALL,2013,335.99
NLD,,GTE65,FEMALE,2013,261.61
NLD,,GTE65,MALE,2013,460.77
NOR,,GTE65,FEMALE,2013,321.64
NOR,,GTE65,MALE,2013,457.42
NOR,,GTE65,ALL,2013,373.72
POL,,GTE65,FEMALE,2013,195.09
PRT,,GTE65,ALL,2013,448.79
PRT,,GTE65,FEMALE,2013,333.34
PRT,,GTE65,MALE,2013,639.69
ESP,,GTE65,MALE,2013,520.3
ESP,,GTE65,FEMALE,2013,224.89
ESP,,GTE65,ALL,2013,341.28
SWE,,GTE65,ALL,2013,247.61
SWE,,GTE65,FEMALE,2013,213.51
SWE,,GTE65,MALE,2013,302.26
GBR,,GTE65,ALL,2011,516.22
GBR,,GTE65,FEMALE,2011,447.12
GBR,,GTE65,MALE,2011,616.71
MLT,,GTE65,FEMALE,2012,269.63
MLT,,GTE65,MALE,2012,462.91
